Image,Latitude,Longitude,Altitude,Degrees_Clockwise_from_North,Timestamp
DJI_0516.JPG,42.4441891,-76.4419951,45.4,-61.7,2024:11:16 10:47:31
DJI_0517.JPG,42.4441491,-76.4421209,45.2,-79.4,2024:11:16 10:47:36
DJI_0518.JPG,42.4441865,-76.4422574,45.4,-79.5,2024:11:16 10:47:42
DJI_0519.JPG,42.4441831,-76.4423586,45.9,-80.3,2024:11:16 10:47:47
DJI_0520.JPG,42.4443428,-76.4422755,45.8,-13.5,2024:11:16 10:47:56
DJI_0521.JPG,42.4443931,-76.4424058,45.1,-13.9,2024:11:16 10:48:10
DJI_0522.JPG,42.4445326,-76.4424318,45.3,-11.7,2024:11:16 10:48:20
DJI_0523.JPG,42.4446021,-76.4426714,45.8,-53.4,2024:11:16 10:48:30
DJI_0524.JPG,42.4446936,-76.4426452,45.9,-4.1,2024:11:16 10:48:36
DJI_0525.JPG,42.4447817,-76.4425831,46.0,13.7,2024:11:16 10:48:41
DJI_0526.JPG,42.4448338,-76.4424652,45.6,41.1,2024:11:16 10:48:46
DJI_0527.JPG,42.4449595,-76.4423699,45.4,41.4,2024:11:16 10:48:51
DJI_0528.JPG,42.4451352,-76.4420997,45.3,40.7,2024:11:16 10:48:56
DJI_0529.JPG,42.4452228,-76.4419799,45.5,40.7,2024:11:16 10:49:01
DJI_0530.JPG,42.4453478,-76.4417846,45.5,41.1,2024:11:16 10:49:06
DJI_0531.JPG,42.4453661,-76.441735,45.1,84.6,2024:11:16 10:49:17
DJI_0532.JPG,42.4453349,-76.4416723,45.3,126.3,2024:11:16 10:49:21
DJI_0533.JPG,42.4452664,-76.4415916,45.8,140.4,2024:11:16 10:49:24
DJI_0534.JPG,42.4451436,-76.4414663,45.9,140.0,2024:11:16 10:49:28
DJI_0535.JPG,42.4450949,-76.4414299,61.4,140.1,2024:11:16 10:49:42
DJI_0536.JPG,42.4449961,-76.4413173,61.6,140.4,2024:11:16 10:49:47
DJI_0537.JPG,42.4449045,-76.4412274,61.2,140.4,2024:11:16 10:49:54
DJI_0538.JPG,42.4447482,-76.4410527,61.6,140.3,2024:11:16 10:50:00
DJI_0539.JPG,42.444648,-76.4411265,61.6,-140.1,2024:11:16 10:50:07
DJI_0540.JPG,42.4446163,-76.4412691,61.6,-107.8,2024:11:16 10:50:13
DJI_0541.JPG,42.4446585,-76.4414211,61.7,-66.2,2024:11:16 10:50:18
DJI_0542.JPG,42.4447325,-76.4415328,61.6,-45.9,2024:11:16 10:50:22
DJI_0543.JPG,42.4448044,-76.4416342,61.5,-47.0,2024:11:16 10:50:25
DJI_0544.JPG,42.4449556,-76.4418426,58.9,-46.6,2024:11:16 10:50:30
DJI_0545.JPG,42.4449879,-76.4418941,61.0,-46.2,2024:11:16 10:50:35
DJI_0546.JPG,42.4450499,-76.4419689,60.7,-46.4,2024:11:16 10:50:40
DJI_0564.JPG,42.4444678,-76.4417967,102.6,-119.9,2024:11:16 10:52:47
DJI_0565.JPG,42.4438973,-76.442735,30.5,-172.4,2024:11:16 10:55:42
DJI_0566.JPG,42.4438236,-76.4427382,30.8,-172.2,2024:11:16 10:55:48
DJI_0567.JPG,42.4437486,-76.4427435,31.0,-172.3,2024:11:16 10:55:51
DJI_0568.JPG,42.4436759,-76.4427573,30.6,-164.7,2024:11:16 10:55:55
DJI_0569.JPG,42.4436217,-76.4427648,30.5,-167.9,2024:11:16 10:55:59
DJI_0570.JPG,42.4435614,-76.4427755,30.5,-168.0,2024:11:16 10:56:02
DJI_0571.JPG,42.4435024,-76.4427834,30.6,-167.8,2024:11:16 10:56:05
DJI_0572.JPG,42.4434404,-76.4427922,30.6,-167.3,2024:11:16 10:56:09
DJI_0573.JPG,42.443434,-76.442789,30.4,-167.8,2024:11:16 10:56:18
DJI_0574.JPG,42.4433875,-76.4427961,30.6,-168.1,2024:11:16 10:56:23
DJI_0575.JPG,42.443371,-76.4427824,30.5,155.0,2024:11:16 10:56:29
